"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Manjimup","Trap 1",116.087979,-34.322199,2012-10-01,2012-10-02 00:00:00,251,19,0,0,6,0,0,0,0,2,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-10-01,2012-10-02 00:00:00,414,0,0,0,1,0,0,0,0,11,0
"Vasse","Trap 1",115.337179,-33.750399,2012-02-21,2012-02-22 00:00:00,71,0,18,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-03-20,2012-03-21 09:33:33,0,0,0,0,1,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-03-20,2012-03-21 13:39:31,0,0,2,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-03-20,2012-03-21 14:48:34,1,0,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-03-20,2012-03-21 12:04:22,3,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-10-16,2012-10-17 14:05:40,20,0,1,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-10-16,2012-10-17 11:59:41,0,0,0,0,0,0,1,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-10-16,2012-10-17 14:04:05,46,0,1,0,0,0,0,3,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-10-16,2012-10-17 12:00:20,0,0,0,0,0,0,4,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-10-15,2012-10-16 00:00:00,511,2,6,0,15,0,0,2,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-10-15,2012-10-16 00:00:00,192,1,1,0,4,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-10-29,2012-10-30 16:25:58,4,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-10-30,2012-10-31 10:38:47,1,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-10-30,2012-10-31 11:06:41,0,2,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-10-30,2012-10-31 11:07:37,0,1,0,0,0,0,0,2,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-10-30,2012-10-31 12:08:24,1,0,1,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-10-30,2012-10-31 13:36:25,36,1,4,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-10-30,2012-10-31 12:07:34,1,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-10-30,2012-10-31 13:35:38,59,1,12,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-10-29,2012-10-30 16:25:27,4,0,0,0,1,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-10-28,2012-10-29 00:00:00,11,0,0,0,0,0,0,0,0,1,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-10-28,2012-10-29 00:00:00,8,0,0,0,0,0,0,0,0,1,0
"Quairading","Trap 1",117.666051,-32.188179,2012-11-07,2012-11-08 12:18:34,1,0,10,1,0,35,28,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-11-07,2012-11-08 14:35:31,80,0,5,0,0,0,0,3,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-11-07,2012-11-08 12:21:25,0,0,10,5,0,65,29,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-11-07,2012-11-08 14:36:29,77,0,1,0,0,0,0,1,0,0,0
